Ano,Instituição,Conta,Valor,População,Variacao_Valor,Variacao_Populacao,Variacao_População,Valor_k,Populacao_k
2017,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,1718716021.0,8301.0,16.912876686110877,0.4234212436486917,,6,6
2018,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,1967349302.0,8336.0,14.466222340520085,0.4216359474762177,,6,6
2019,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,2206716459.0,8264.0,12.16698817828945,-0.8637236084452993,,6,6
2020,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,2302413198.0,8322.0,4.3366123730896655,0.7018393030009618,,6,6
2021,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,2463581810.0,8378.0,6.999986455081109,0.6729151646238885,,6,6
2022,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,3226776618.0,8434.0,30.979073027008596,0.6684172833611779,,6,6
2023,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,3301607552.0,8434.0,2.3190614925919784,0.0,,6,6
2024,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,3530222219.428528,8454.012422360254,2.3190614925919784,,0.0,6,6
2025,Prefeitura Municipal de Barra de São Miguel - AL,IPTU,3799826080.9751587,8479.335403726713,2.3190614925919784,,0.0,6,6
2017,Prefeitura Municipal de Barra de São Miguel - AL,ISS,399707983.5,8301.0,19.11995396369481,0.4234212436486917,,6,6
2018,Prefeitura Municipal de Barra de São Miguel - AL,ISS,463865146.0,8336.0,16.051008523326125,0.4216359474762177,,6,6
2019,Prefeitura Municipal de Barra de São Miguel - AL,ISS,487225638.0,8264.0,5.036052439257843,-0.8637236084452993,,6,6
2020,Prefeitura Municipal de Barra de São Miguel - AL,ISS,487522519.0,8322.0,0.060932959361226224,0.7018393030009618,,6,6
2021,Prefeitura Municipal de Barra de São Miguel - AL,ISS,528034926.0,8378.0,8.309853477763141,0.6729151646238885,,6,6
2022,Prefeitura Municipal de Barra de São Miguel - AL,ISS,494283297.0,8434.0,-6.391931165553244,0.6684172833611779,,6,6
2023,Prefeitura Municipal de Barra de São Miguel - AL,ISS,973915815.0,8434.0,97.03595507092362,0.0,,6,6
2024,Prefeitura Municipal de Barra de São Miguel - AL,ISS,808403486.9999847,8454.012422360254,97.03595507092362,,0.0,6,6
2025,Prefeitura Municipal de Barra de São Miguel - AL,ISS,873755279.8478088,8479.335403726713,97.03595507092362,,0.0,6,6
2017,Prefeitura Municipal de Barra de São Miguel - AL,ITBI,264669956.5,8301.0,13.542962281761328,0.4234212436486917,,5,6
2018,Prefeitura Municipal de Barra de São Miguel - AL,ITBI,296238758.0,8336.0,11.92761049174842,0.4216359474762177,,5,6
2019,Prefeitura Municipal de Barra de São Miguel - AL,ITBI,290860518.0,8264.0,-1.8155085567837848,-0.8637236084452993,,5,6
2020,Prefeitura Municipal de Barra de São Miguel - AL,ITBI,371870746.0,8322.0,27.851916292055833,0.7018393030009618,,5,6
