Instituição,IPTU,IPTU,IPTU,IPTU,IPTU,IPTU,IPTU,IPTU,IPTU,ISS,ISS,ISS,ISS,ISS,ISS,ISS,ISS,ISS,ITBI,ITBI,ITBI,ITBI,ITBI,ITBI,ITBI,ITBI,ITBI,Cluster_AGNES,Cluster_DIANA,Cluster_KMeans
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,
Prefeitura Municipal de Armação dos Búzios - RJ,762910608.5,995305936.0,1306246982.0,1532813737.0,8564402314.0,1474429470.0,2607836390.0,4306717969.266724,4752397635.295288,618317164.5,592767891.0,2430878002.0,2282529232.0,4780336999.0,1144806879.0,2457550226.0,3285714692.2738037,3606115983.613037,285436738.5,351933356.0,617907943.0,1075122924.0,1232969516.0,709477222.0,846442018.0,1161779265.8571167,1269139866.7546387,1,4,1
Prefeitura Municipal de Arraial do Cabo - RJ,696656476.0,329427105.0,212960320.0,1670943762.0,288674350.0,1192975296.0,1550985191.0,1453319325.8428345,1606021970.1142578,145951408.0,596761288.0,477765748.0,517143742.0,220633454.0,843233131.0,395080505.0,597109708.4285583,634668609.4099274,254582434.0,601743890.0,464784242.0,405787976.0,101503567.0,426037848.0,153511878.0,188279058.35714722,151925328.8214264,1,4,1
Prefeitura Municipal de Baía da Traição - PB,24967030.0,37894616.0,34243736.0,32270322.0,34892132.0,31032105.0,37278114.0,36538343.32089567,37361015.49253726,28453955.0,36946374.0,26239762.0,71443972.0,119074514.0,162801707.0,121378673.0,170063945.48571777,192381722.30000305,13558632.0,16100291.0,23864292.0,19875812.0,31939396.0,8631814.0,43089403.0,34048005.666666985,36942625.952381134,1,4,1
Prefeitura Municipal de Cabedelo - PB,2123657796.0,1666740444.0,1571550914.0,1964389087.0,1675354294.0,3408321184.0,4880371800.0,4172651799.428711,4600482059.500122,4766344053.0,6343590412.0,6800152552.0,6767109073.0,5912522536.0,7083588541.0,15555521309.0,12312675212.285645,13506039357.925293,2315933636.0,2850801491.0,2842237381.0,3317837272.0,6308282164.0,6313342657.0,8271538142.0,8692976425.442871,9728825848.199951,2,4,1
Prefeitura Municipal de Conde - PB,787269886.0,948460856.0,1063138303.0,907096794.0,1154076960.0,1709220948.0,2285745070.0,2132790833.7856445,2350135338.928528,941957615.0,1025801920.0,1093143435.0,1107451888.0,1237085573.0,1855952292.0,2141751642.0,2126872803.3585205,2323941333.1698,307818064.0,371791058.0,574475019.0,786571644.0,974323598.0,1203186759.0,1006846575.0,1344448918.0667114,1494425054.038147,1,4,1
Prefeitura Municipal de Ipojuca - PE,2194867502.0,2024838383.0,3498482922.0,2544016910.0,5406371529.0,6381892242.0,6986058382.0,7718870976.428467,8622139711.670654,37594896624.0,43883415928.0,47052698164.0,46153919898.0,51119141152.0,38950820786.0,74660438784.0,63757876125.33301,67602010508.19043,1799139642.0,2119569790.0,2583926769.0,2569474728.0,5481216239.0,4678491640.0,6045694844.0,6574241040.171631,7314582057.4001465,3,2,0
Prefeitura Municipal de João Pessoa - PB,19113191681.0,24413554825.0,29260639483.0,30649625282.0,34042444035.0,40168192043.0,49366033018.0,50737868187.4668,55334378684.552734,55520644875.0,70288419764.0,74450943765.0,72742160103.0,81987489378.0,93988982977.0,118820661968.0,116431842118.92969,125303860916.96094,26083771966.0,30016997918.0,23274397617.0,29367032418.0,36402998343.0,40671946622.0,42249065721.0,44129466500.13574,47054009969.68945,4,1,2
Prefeitura Municipal de Lucena - PB,214866067.0,298254001.0,243634862.0,249046794.0,545076496.0,633668844.0,867444642.0,853028790.2795105,957479091.5466003,238717822.0,169368996.0,79071572.0,24477859.0,17646932.0,204642310.0,212272006.0,130976798.0,131387356.5,105941760.0,186968292.0,328204992.0,388033077.0,386214363.0,264565854.0,279455082.0,374340178.84285736,396777721.80000305,1,4,1
Prefeitura Municipal de Maragogi - AL,603854930.0,494559287.0,979186481.0,801674549.0,2053957864.0,1239219929.0,1744747783.0,2015850446.8475952,2235207840.961853,1566114488.0,2449276941.0,2359721690.0,1701620754.0,3191235978.0,3881372451.0,4566432198.0,4630347562.571411,5083653326.285645,121171544.0,85727203.0,210961420.0,212899027.0,310638469.0,570545259.0,507322760.0,606718927.2857056,686371505.6210938,1,4,1
